%tL is: 39.00
%tH is: 40.00
%temp(C)     status        time
%------------------------------
%Beginning of Data:
29.45          1          60081
30.33          1          60114
29.59          1          60149
29.59          1          60183
29.59          1          60218
29.45          1          60252
29.64          1          60286
29.64          1          60320
29.49          1          60355
29.49          1          60389
29.64          1          60424
29.74          1          60457
29.69          1          60492
29.79          1          60526
29.79          1          60561
29.84          1          60595
29.84          1          60630
29.84          1          60663
29.84          1          60698
29.84          1          60732
29.84          1          60767
29.84          1          60801
29.84          1          60835
29.84          1          60869
29.84          1          60904
29.84          1          60938
29.98          1          60973
30.18          1          61007
30.33          1          61041
30.28          1          61076
30.33          1          61110
30.33          1          61145
30.33          1          61178
30.33          1          61213
30.33          1          61247
30.33          1          61282
30.33          1          61316
30.47          1          61350
30.52          1          61384
30.62          1          61419
30.77          1          61453
30.81          1          61488
30.81          1          61521
30.81          1          61556
30.81          1          61590
30.81          1          61625
30.81          1          61659
31.01          1          61693
30.96          1          61727
31.16          1          61762
31.30          1          61796
31.21          1          61831
31.30          1          61864
31.30          1          61899
31.30          1          61933
31.30          1          61968
31.30          1          62002
31.30          1          62036
31.45          1          62071
31.50          1          62105
31.69          1          62140
31.74          1          62174
31.79          1          62209
31.79          1          62242
31.79          1          62277
31.79          1          62311
31.79          1          62346
31.79          1          62380
31.84          1          62414
31.99          1          62448
32.09          1          62483
32.28          1          62517
32.28          1          62552
32.28          1          62585
32.28          1          62620
32.28          1          62654
32.28          1          62689
32.28          1          62723
32.28          1          62757
32.38          1          62791
32.43          1          62826
32.67          1          62860
32.62          1          62895
32.72          1          62928
32.77          1          62963
32.77          1          62997
32.77          1          63032
32.77          1          63066
32.77          1          63100
32.77          1          63134
32.77          1          63169
32.92          1          63204
33.16          1          63238
33.26          1          63272
33.26          1          63306
33.26          1          63341
33.26          1          63375
33.26          1          63410
33.26          1          63443
33.26          1          63478
33.26          1          63512
33.31          1          63547
33.40          1          63581
33.65          1          63616
33.65          1          63649
33.70          1          63684
33.75          1          63718
33.70          1          63753
33.75          1          63787
33.75          1          63821
33.75          1          63855
33.75          1          63890
33.75          1          63924
33.80          1          63959
33.94          1          63992
34.14          1          64027
34.19          1          64061
34.24          1          64096
34.24          1          64130
34.24          1          64164
34.24          1          64198
34.24          1          64233
34.24          1          64268
34.24          1          64302
34.28          1          64336
34.38          1          64370
34.53          1          64405
34.63          1          64439
34.68          1          64474
34.72          1          64507
34.72          1          64542
34.72          1          64576
34.72          1          64611
34.72          1          64645
34.72          1          64679
34.72          1          64713
34.72          1          64748
35.07          1          64782
35.12          1          64817
35.12          1          64850
35.21          1          64885
35.21          1          64919
35.21          1          64954
35.21          1          64988
35.21          1          65022
35.21          1          65056
35.21          1          65091
35.26          1          65125
35.26          1          65160
35.31          1          65193
35.46          1          65228
35.60          1          65262
35.65          1          65297
35.70          1          65331
35.70          1          65366
35.70          1          65400
35.70          1          65434
35.70          1          65469
35.70          1          65503
35.70          1          65538
35.70          1          65571
35.75          1          65606
36.00          1          65640
36.09          1          65675
36.14          1          65709
36.19          1          65743
36.19          1          65777
36.19          1          65812
36.19          1          65846
36.19          1          65881
36.19          1          65914
36.19          1          65949
36.19          1          65983
36.29          1          66018
36.43          1          66052
36.39          1          66086
36.58          1          66120
36.68          1          66155
36.68          1          66189
36.68          1          66224
36.68          1          66257
36.68          1          66292
36.68          1          66326
36.68          1          66361
36.68          1          66395
36.68          1          66429
36.68          1          66464
36.78          1          66498
36.92          1          66533
37.07          1          66567
37.12          1          66601
37.17          1          66635
37.17          1          66670
37.17          1          66704
37.17          1          66739
37.17          1          66772
37.17          1          66807
37.17          1          66841
37.17          1          66876
37.17          1          66910
