%tL is: 61.00
%tH is: 62.00
%temp(C)     status        time
%------------------------------
%Beginning of Data:
27.34          1          5081
27.39          1          5113
27.34          1          5147
27.39          1          5180
27.39          1          5214
27.39          1          5246
27.39          1          5280
27.39          1          5313
27.39          1          5347
27.39          1          5380
27.39          1          5413
27.39          1          5446
27.39          1          5480
27.39          1          5513
27.39          1          5547
27.39          1          5579
27.39          1          5613
27.39          1          5646
27.39          1          5680
27.39          1          5712
27.39          1          5746
27.39          1          5779
27.39          1          5813
27.54          1          5846
27.49          1          5879
27.64          1          5912
27.74          1          5946
27.83          1          5979
27.88          1          6012
27.88          1          6045
27.88          1          6079
27.88          1          6112
27.88          1          6146
27.88          1          6178
27.88          1          6212
27.88          1          6245
27.88          1          6279
28.08          1          6311
28.13          1          6345
28.32          1          6378
28.32          1          6412
28.37          1          6445
28.37          1          6478
28.37          1          6511
28.37          1          6545
28.37          1          6578
28.37          1          6611
28.37          1          6644
28.47          1          6678
28.47          1          6711
28.52          1          6745
28.86          1          6777
28.86          1          6811
28.86          1          6844
28.86          1          6878
28.86          1          6910
28.86          1          6944
28.86          1          6977
28.86          1          7011
28.91          1          7044
28.91          1          7077
29.15          1          7110
29.30          1          7144
29.35          1          7177
29.35          1          7211
29.35          1          7243
29.35          1          7277
29.35          1          7310
29.35          1          7344
29.40          1          7376
29.35          1          7410
29.45          1          7443
29.45          1          7477
29.64          1          7510
29.69          1          7543
29.84          1          7576
29.79          1          7610
29.84          1          7643
29.84          1          7676
29.84          1          7709
29.84          1          7743
29.84          1          7776
29.84          1          7810
29.93          1          7842
30.08          1          7876
30.13          1          7909
30.33          1          7943
30.28          1          7975
30.33          1          8009
30.33          1          8042
30.33          1          8076
30.33          1          8109
30.33          1          8142
30.33          1          8175
30.37          1          8209
30.42          1          8242
30.42          1          8275
30.57          1          8308
30.67          1          8342
30.77          1          8375
30.81          1          8409
30.81          1          8441
30.81          1          8475
30.81          1          8508
30.81          1          8542
30.86          1          8574
30.81          1          8608
30.96          1          8641
30.96          1          8675
31.16          1          8708
31.16          1          8741
31.30          1          8774
31.30          1          8808
31.30          1          8841
31.30          1          8875
31.30          1          8907
31.30          1          8941
31.30          1          8974
31.35          1          9008
31.35          1          9040
31.30          1          9074
31.50          1          9107
31.60          1          9141
31.69          1          9174
31.79          1          9207
31.79          1          9240
31.79          1          9274
31.79          1          9307
31.79          1          9340
31.79          1          9373
31.79          1          9407
31.84          1          9440
31.94          1          9474
31.94          1          9506
32.04          1          9540
32.23          1          9573
32.28          1          9607
32.28          1          9639
32.28          1          9673
32.28          1          9706
32.28          1          9740
32.28          1          9773
32.28          1          9806
32.28          1          9839
32.28          1          9873
32.28          1          9906
32.33          1          9939
32.43          1          9972
32.52          1          10006
32.72          1          10040
32.77          1          10075
32.77          1          10108
32.77          1          10143
32.77          1          10177
32.77          1          10212
32.82          1          10246
32.77          1          10280
32.77          1          10314
32.77          1          10349
32.82          1          10383
33.01          1          10418
33.16          1          10451
33.26          1          10486
33.26          1          10520
33.26          1          10555
33.26          1          10589
33.26          1          10624
33.26          1          10657
33.26          1          10692
33.26          1          10726
33.36          1          10761
33.26          1          10796
33.36          1          10829
33.45          1          10864
33.60          1          10898
33.70          1          10933
33.70          1          10967
33.75          1          11001
33.70          1          11035
33.75          1          11070
33.75          1          11104
33.75          1          11139
33.75          1          11172
33.75          1          11207
33.75          1          11241
33.89          1          11276
33.89          1          11310
34.09          1          11344
34.14          1          11378
34.19          1          11413
34.24          1          11447
34.24          1          11482
34.28          1          11515
34.24          1          11550
34.24          1          11584
34.24          1          11619
34.24          1          11653
34.28          1          11687
34.33          1          11721
34.33          1          11756
34.68          1          11790
34.63          1          11825
34.72          1          11859
34.68          1          11893
34.72          1          11928
34.72          1          11962
34.72          1          11997
34.72          1          12030
34.68          1          12065
34.72          1          12099
34.72          1          12134
34.72          1          12168
34.82          1          12203
34.82          1          12236
35.12          1          12271
35.07          1          12305
35.21          1          12340
35.21          1          12374
35.21          1          12408
35.21          1          12442
35.21          1          12477
35.21          1          12511
35.21          1          12546
35.21          1          12579
35.21          1          12614
35.21          1          12648
35.21          1          12683
35.41          1          12717
35.56          1          12751
35.70          1          12785
35.70          1          12820
35.70          1          12854
35.70          1          12889
35.70          1          12922
35.70          1          12957
35.70          1          12992
35.75          1          13026
35.70          1          13061
35.75          1          13094
35.85          1          13129
35.80          1          13163
35.80          1          13198
35.90          1          13232
36.14          1          13266
36.19          1          13300
36.19          1          13335
36.19          1          13369
36.19          1          13404
36.19          1          13437
36.19          1          13472
36.19          1          13506
36.19          1          13541
36.19          1          13575
36.19          1          13609
36.19          1          13643
36.34          1          13678
36.48          1          13712
36.68          1          13747
36.68          1          13780
36.63          1          13815
36.68          1          13849
36.68          1          13884
36.68          1          13918
36.68          1          13953
36.68          1          13986
36.68          1          14021
36.73          1          14056
36.73          1          14090
36.73          1          14125
36.83          1          14158
36.92          1          14193
36.92          1          14227
37.02          1          14262
37.17          1          14296
37.17          1          14330
37.17          1          14364
37.17          1          14399
37.17          1          14433
37.17          1          14468
37.17          1          14501
37.22          1          14536
37.17          1          14570
37.22          1          14605
37.27          1          14639
37.22          1          14673
37.36          1          14707
37.51          1          14742
37.61          1          14776
37.61          1          14811
37.56          1          14844
37.66          1          14879
37.66          1          14913
37.66          1          14948
37.66          1          14982
37.66          1          15016
37.66          1          15050
37.66          1          15085
37.66          1          15119
37.75          1          15154
37.71          1          15188
37.80          1          15222
38.10          1          15257
38.10          1          15291
38.10          1          15326
38.10          1          15360
38.15          1          15394
38.15          1          15428
38.15          1          15463
38.15          1          15497
38.15          1          15532
38.19          1          15565
38.15          1          15600
38.15          1          15634
38.19          1          15669
38.19          1          15703
38.19          1          15737
38.29          1          15771
38.59          1          15806
38.59          1          15840
38.63          1          15875
38.63          1          15908
38.63          1          15943
38.63          1          15977
38.63          1          16012
38.63          1          16046
38.63          1          16080
38.63          1          16114
38.63          1          16149
38.63          1          16183
38.63          1          16218
38.68          1          16252
38.78          1          16286
38.98          1          16321
38.93          1          16355
39.03          1          16390
39.07          1          16423
39.12          1          16458
39.12          1          16492
39.12          1          16527
39.12          1          16561
39.12          1          16595
39.12          1          16629
39.12          1          16664
39.12          1          16698
39.12          1          16733
39.12          1          16766
39.17          1          16801
39.22          1          16835
39.42          1          16870
39.56          1          16904
39.61          1          16939
39.61          1          16972
39.61          1          17007
39.61          1          17041
39.61          1          17076
39.61          1          17110
39.61          1          17144
39.61          1          17178
39.61          1          17213
39.61          1          17247
39.61          1          17282
39.61          1          17315
39.66          1          17350
39.81          1          17385
39.86          1          17419
39.95          1          17454
40.05          1          17487
40.05          1          17522
40.10          1          17556
40.10          1          17591
40.10          1          17625
40.10          1          17659
40.10          1          17693
40.10          1          17728
40.10          1          17762
40.10          1          17797
40.10          1          17830
40.10          1          17865
40.20          1          17899
40.10          1          17934
40.35          1          17968
40.30          1          18002
40.49          1          18036
40.54          1          18071
40.59          1          18105
40.59          1          18140
40.59          1          18173
40.59          1          18208
40.59          1          18242
40.59          1          18277
40.59          1          18311
40.59          1          18345
40.64          1          18379
40.59          1          18414
40.59          1          18449
40.74          1          18483
40.64          1          18518
40.83          1          18551
40.83          1          18586
40.98          1          18620
41.03          1          18655
41.08          1          18689
41.03          1          18723
41.08          1          18757
41.03          1          18792
41.08          1          18826
41.08          1          18861
41.08          1          18894
41.08          1          18929
41.08          1          18963
41.08          1          18998
41.13          1          19032
41.13          1          19066
41.13          1          19100
41.22          1          19135
41.47          1          19169
41.42          1          19204
41.57          1          19237
41.57          1          19272
41.57          1          19306
41.57          1          19341
41.57          1          19375
41.57          1          19409
41.57          1          19443
41.57          1          19478
41.57          1          19512
41.57          1          19547
41.57          1          19581
41.57          1          19615
41.62          1          19650
41.76          1          19684
41.66          1          19719
42.01          1          19752
41.91          1          19787
42.06          1          19821
42.01          1          19856
42.06          1          19890
42.06          1          19924
42.06          1          19958
42.06          1          19993
42.06          1          20027
42.06          1          20062
42.06          1          20096
42.06          1          20130
42.06          1          20164
42.06          1          20199
42.10          1          20233
42.10          1          20268
42.35          1          20301
42.40          1          20336
42.54          1          20370
42.40          1          20405
42.54          1          20439
42.54          1          20473
42.54          1          20507
42.54          1          20542
42.54          1          20576
42.54          1          20611
42.54          1          20645
42.59          1          20679
42.59          1          20714
42.54          1          20748
42.54          1          20783
42.54          1          20816
42.54          1          20851
42.64          1          20885
42.74          1          20920
42.74          1          20954
42.98          1          20988
42.98          1          21022
43.03          1          21057
43.03          1          21091
43.03          1          21126
43.03          1          21159
43.03          1          21194
43.03          1          21228
43.03          1          21263
43.03          1          21297
43.08          1          21331
43.08          1          21365
43.03          1          21400
43.03          1          21434
43.13          1          21469
43.08          1          21502
43.13          1          21537
43.33          1          21571
43.52          1          21606
43.42          1          21640
43.52          1          21675
43.52          1          21708
43.52          1          21743
43.52          1          21778
43.52          1          21812
43.52          1          21847
43.52          1          21880
43.52          1          21915
43.52          1          21949
43.57          1          21984
43.52          1          22018
43.57          1          22052
43.62          1          22086
43.67          1          22121
43.67          1          22155
43.77          1          22190
43.82          1          22223
43.86          1          22258
44.01          1          22292
44.01          1          22327
44.01          1          22361
44.01          1          22395
44.01          1          22429
44.01          1          22464
44.01          1          22498
44.01          1          22533
44.01          1          22566
44.01          1          22601
44.01          1          22635
44.06          1          22670
44.01          1          22704
44.06          1          22738
44.01          1          22772
44.26          1          22807
44.35          1          22842
44.45          1          22876
44.45          1          22910
44.50          1          22944
44.45          1          22979
44.45          1          23013
44.50          1          23048
44.50          1          23081
44.50          1          23116
44.50          1          23150
44.50          1          23185
44.50          1          23219
44.50          1          23254
44.50          1          23287
44.50          1          23322
44.50          1          23356
44.65          1          23391
44.60          1          23425
44.70          1          23459
44.74          1          23493
44.84          1          23528
44.94          1          23562
44.94          1          23597
44.99          1          23630
44.99          1          23665
44.99          1          23699
44.99          1          23734
44.99          1          23768
44.99          1          23802
44.99          1          23836
44.99          1          23871
44.99          1          23905
44.99          1          23940
44.99          1          23974
45.04          1          24008
44.99          1          24043
45.04          1          24077
45.13          1          24112
45.23          1          24145
45.28          1          24180
45.38          1          24214
45.48          1          24249
45.43          1          24283
45.48          1          24317
45.48          1          24351
45.48          1          24386
45.48          1          24420
45.48          1          24455
45.48          1          24488
45.48          1          24523
45.48          1          24557
45.48          1          24592
45.48          1          24626
45.53          1          24660
45.48          1          24694
45.48          1          24729
45.57          1          24763
45.67          1          24798
45.77          1          24832
45.67          1          24866
45.97          1          24900
45.97          1          24935
45.97          1          24969
45.97          1          25004
45.97          1          25038
45.97          1          25072
45.97          1          25107
45.97          1          25141
45.97          1          25176
45.97          1          25209
45.97          1          25244
45.97          1          25278
45.97          1          25313
45.97          1          25347
46.01          1          25381
45.97          1          25415
45.97          1          25450
46.01          1          25484
46.06          1          25519
46.21          1          25552
46.31          1          25587
46.21          1          25621
46.41          1          25656
46.45          1          25690
46.45          1          25724
46.45          1          25758
46.45          1          25793
46.45          1          25827
46.45          1          25862
46.45          1          25895
46.45          1          25930
46.45          1          25964
46.50          1          25999
46.45          1          26033
46.45          1          26067
46.50          1          26101
46.60          1          26136
46.45          1          26171
46.75          1          26205
46.80          1          26240
46.89          1          26273
46.80          1          26308
46.89          1          26342
46.94          1          26377
46.94          1          26411
46.99          1          26445
46.94          1          26479
46.94          1          26514
46.94          1          26548
46.94          1          26583
46.94          1          26616
46.94          1          26651
46.94          1          26685
46.94          1          26720
46.94          1          26754
46.99          1          26788
46.94          1          26822
47.09          1          26857
47.04          1          26891
47.19          1          26926
47.14          1          26959
47.33          1          26994
47.29          1          27028
47.33          1          27063
47.43          1          27097
47.43          1          27131
47.43          1          27165
47.43          1          27200
47.43          1          27235
47.43          1          27269
47.43          1          27303
47.43          1          27337
47.43          1          27372
47.43          1          27406
47.43          1          27441
47.43          1          27474
47.43          1          27509
47.43          1          27543
47.43          1          27578
47.48          1          27612
47.53          1          27646
47.58          1          27680
47.73          1          27715
47.87          1          27749
47.87          1          27784
47.92          1          27817
47.92          1          27852
47.92          1          27886
47.92          1          27921
47.92          1          27955
47.92          1          27990
47.92          1          28023
47.92          1          28058
47.92          1          28092
47.92          1          28127
47.92          1          28161
47.92          1          28195
47.92          1          28229
47.92          1          28264
47.92          1          28298
47.97          1          28333
47.97          1          28367
47.92          1          28401
48.07          1          28436
48.12          1          28470
48.36          1          28505
48.36          1          28538
48.41          1          28573
48.41          1          28607
48.41          1          28642
48.41          1          28676
48.41          1          28710
48.41          1          28744
48.41          1          28779
48.41          1          28813
48.41          1          28848
48.41          1          28881
48.41          1          28916
48.41          1          28950
48.41          1          28985
48.41          1          29019
48.46          1          29053
48.41          1          29087
48.41          1          29122
48.61          1          29156
48.65          1          29191
48.65          1          29224
48.85          1          29259
48.80          1          29293
48.90          1          29328
48.85          1          29362
48.90          1          29396
48.90          1          29431
48.90          1          29465
48.90          1          29500
48.90          1          29534
48.90          1          29569
48.90          1          29602
48.90          1          29637
48.95          1          29671
48.90          1          29706
48.90          1          29740
48.90          1          29774
48.90          1          29808
49.00          1          29843
48.95          1          29877
49.00          1          29912
49.29          1          29945
49.29          1          29980
49.14          1          30014
49.34          1          30049
49.39          1          30083
49.34          1          30117
49.39          1          30151
49.39          1          30186
49.39          1          30220
49.39          1          30255
49.39          1          30288
49.39          1          30323
49.39          1          30357
49.39          1          30392
49.39          1          30426
49.39          1          30460
49.39          1          30494
49.39          1          30529
49.39          1          30564
49.44          1          30598
49.44          1          30632
49.44          1          30666
49.68          1          30701
49.83          1          30735
49.78          1          30770
49.73          1          30803
49.78          1          30838
49.88          1          30872
49.88          1          30907
49.88          1          30941
49.83          1          30976
49.88          1          31009
49.88          1          31044
49.88          1          31078
49.88          1          31113
49.88          1          31147
49.88          1          31181
49.88          1          31215
49.88          1          31250
49.88          1          31284
49.88          1          31319
49.92          1          31352
49.88          1          31387
49.88          1          31421
50.07          1          31456
50.17          1          31490
50.27          1          31524
50.27          1          31558
50.32          1          31593
50.36          1          31628
